7zip	26.01
abseil-cpp	20250814.1
adwaita-icon-theme	50.0
adwaita-icon-theme-legacy	46.2-1
aha	0.5.1-2
alsa-lib	1.2.16.1
android-tools	35.0.2-7
appstream	1.1.3
apt	2.8.1-2
arj	3.10.22-6
ark	26.04.2
asciidoctor	2.0.26
aspell	0.60.8.2
at-spi2-core	2.60.4
attr	2.5.2-1
attr-glibc	2.5.2
aurorae	6.7.0
autoconf	2.73
automake	1.18.1
baloo-widgets	26.04.2
bash	5.3.9
bash-completion-glibc	2.16.0
bash-glibc	5.2.37
bat	0.26.1
bc	1.08.2-1
binutils	2.46.0-3
binutils-glibc	2.44
binutils-libs-glibc	2.44
bison	3.8.2-4
botan3	3.10.0-1
breeze	6.7.0
breeze-gtk	6.7.0
brotli	1.2.0
brotli-glibc	1.1.0
build-essential	4.1
bzip2	1.0.8-8
c-ares	1.34.6
ca-certificates	1:2026.05.14
ca-certificates-glibc	2025.02.25
catdoc	0.95-2
clang	21.1.8-2
clinfo	3.0.25.02.14-1
cmake	4.3.4
code-oss	1.122.1
command-not-found	3.4.1-14
convertlit	1.8-2
coreutils	9.11
coreutils-glibc	9.5
cups	2.4.19
curl	8.20.0
dash	0.5.12-2
dbus	1.16.2-3
dconf	0.49.0-1
debianutils	5.23.2-1
desktop-file-utils	0.28-3
dialog	1.3-20260107-1
diffutils	3.12-2
discount	3.0.1.3
djvulibre	3.5.30
dolphin	26.04.2
dos2unix	7.5.6
dotconf	1.4.1-1
double-conversion	3.4.0
dpkg	1.22.6-5
duktape	2.7.0-2
e2fsprogs-glibc	1.47.2
ebook-tools	0.2.2-3
ed	1.22.5
editorconfig-core-c	0.12.11
electron-for-code-oss	39.8.8
enchant	2.8.16
espeak	1.52.0-1
exiv2	2:0.28.8
ffmpeg	8.1.2
fftw	3.3.11
file	5.48-1
filelight	26.04.2
findutils	4.10.0-1
firefox	152.0.1
flex	2.6.4-4
fluidsynth	2.5.5
fmt	1:11.2.0
fontconfig	2.18.1
freeglut	3.6.0-1
freetype	2.14.3
fresh-editor	0.4.1
fribidi	1.0.16-1
fzf	0.73.1
game-music-emu	0.6.5
gawk	5.3.2
gcc-libs-glibc	14.2.1-1
gdbm	1.26-1
gdbm-glibc	1.24
gdk-pixbuf	2.44.6
geoclue	2.8.1
gettext	1.0
gh	2.95.0
ghostscript	10.07.1
giflib	5.2.2-2
git	2.54.0
glib	2.88.1
glib-networking	2.80.1-2
glibc	2.42
glibc-repo	1.0
glibc-runner	2.0-3
glslang	16.3.0
glu	9.0.3-1
gnupg	2.5.17
gobject-introspection	1.86.0-1
